term,tree,l1,l2,l3,l4,l5,l6,l7
"Calcification, Physiologic",G07.700.320.500.325.377.625.100.175,G07,700,320,500,325,377,625
Maxillofacial Development,G07.700.320.500.325.377.625.100.478,G07,700,320,500,325,377,625
Osteogenesis,G07.700.320.500.325.377.625.100.729,G07,700,320,500,325,377,625
Chondrogenesis,G07.700.320.500.325.377.625.180,G07,700,320,500,325,377,625
Muscle Development,G07.700.320.500.325.377.625.590,G07,700,320,500,325,377,625
Neurogenesis,G07.700.320.500.325.377.687,G07,700,320,500,325,377,687
Odontogenesis,G07.700.320.500.325.377.750,G07,700,320,500,325,377,750
Amelogenesis,G07.700.320.500.325.377.750.190,G07,700,320,500,325,377,750
"Organogenesis, Plant",G07.700.320.500.325.377.765,G07,700,320,500,325,377,765
Sex Determination Processes,G07.700.320.500.325.377.812,G07,700,320,500,325,377,812
Sex Differentiation,G07.700.320.500.325.377.843,G07,700,320,500,325,377,843
"Metamorphosis, Biological",G07.700.320.500.550,G07,700,320,500,550,,
Life Cycle Stages,G07.700.320.500.550.500,G07,700,320,500,550,500,
Larva,G07.700.320.500.550.500.500,G07,700,320,500,550,500,500
Cercaria,G07.700.320.500.550.500.500.150,G07,700,320,500,550,500,500
Metacercariae,G07.700.320.500.550.500.500.150.500,G07,700,320,500,550,500,500
Nymph,G07.700.320.500.550.500.650,G07,700,320,500,550,500,650
Oocysts,G07.700.320.500.550.500.675,G07,700,320,500,550,500,675
Sporozoites,G07.700.320.500.550.500.675.800,G07,700,320,500,550,500,675
Pupa,G07.700.320.500.550.500.700,G07,700,320,500,550,500,700
Schizonts,G07.700.320.500.550.500.800,G07,700,320,500,550,500,800
Merozoites,G07.700.320.500.550.500.800.500,G07,700,320,500,550,500,800
Trophozoites,G07.700.320.500.550.500.950,G07,700,320,500,550,500,950
Molting,G07.700.320.500.550.750,G07,700,320,500,550,750,
Plant Development,G07.700.320.625,G07,700,320,625,,,
Etiolation,G07.700.320.625.124,G07,700,320,625,124,,
Germination,G07.700.320.625.249,G07,700,320,625,249,,
Plant Dormancy,G07.700.320.625.875,G07,700,320,625,875,,
Sexual Development,G07.700.320.750,G07,700,320,750,,,
Sex Determination Processes,G07.700.320.750.437,G07,700,320,750,437,,
Sex Differentiation,G07.700.320.750.500,G07,700,320,750,500,,
Sexual Maturation,G07.700.320.750.750,G07,700,320,750,750,,
Homeostasis,G07.700.345,G07,700,345,,,,
Acid-Base Equilibrium,G07.700.345.110,G07,700,345,110,,,
Body Temperature Regulation,G07.700.345.421,G07,700,345,421,,,
Sweating,G07.700.345.421.693,G07,700,345,421,693,,
Thermogenesis,G07.700.345.421.778,G07,700,345,421,778,,
Shivering,G07.700.345.421.778.500,G07,700,345,421,778,500,
Torpor,G07.700.345.421.889,G07,700,345,421,889,,
Estivation,G07.700.345.421.889.249,G07,700,345,421,889,249,
Hibernation,G07.700.345.421.889.500,G07,700,345,421,889,500,
"Feedback, Physiological",G07.700.345.732,G07,700,345,732,,,
"Feedback, Sensory",G07.700.345.732.500,G07,700,345,732,500,,
Osmoregulation,G07.700.345.810,G07,700,345,810,,,
Water-Electrolyte Balance,G07.700.345.810.500,G07,700,345,810,500,,
Kallikrein-Kinin System,G07.700.345.810.500.500,G07,700,345,810,500,500,
"Water Loss, Insensible",G07.700.345.810.500.750,G07,700,345,810,500,750,
Hormesis,G07.700.370,G07,700,370,,,,
Movement,G07.700.560,G07,700,560,,,,
Locomotion,G07.700.560.500,G07,700,560,500,,,
Cell Movement,G07.700.560.500.180,G07,700,560,500,180,,
Transendothelial and Transepithelial Migration,G07.700.560.500.180.500,G07,700,560,500,180,500,
Nutrition Processes,G07.700.620,G07,700,620,,,,
Appetite Regulation,G07.700.620.080,G07,700,620,80,,,
Breast Feeding,G07.700.620.185,G07,700,620,185,,,
Digestion,G07.700.620.220,G07,700,620,220,,,
Salivation,G07.700.620.220.800,G07,700,620,220,800,,
Eating,G07.700.620.260,G07,700,620,260,,,
Drinking,G07.700.620.260.249,G07,700,620,260,249,,
Mastication,G07.700.620.260.500,G07,700,620,260,500,,
Intestinal Absorption,G07.700.620.431,G07,700,620,431,,,
Weaning,G07.700.620.762,G07,700,620,762,,,
Pharmacological Processes,G07.700.680,G07,700,680,,,,
Biotransformation,G07.700.680.097,G07,700,680,97,,,
Metabolic Clearance Rate,G07.700.680.097.595,G07,700,680,97,595,,
"Metabolic Detoxication, Drug",G07.700.680.097.600,G07,700,680,97,600,,
"Metabolic Detoxication, Phase I",G07.700.680.097.600.500,G07,700,680,97,600,500,
"Metabolic Detoxication, Phase II",G07.700.680.097.600.750,G07,700,680,97,600,750,
Cytoprotection,G07.700.680.195,G07,700,680,195,,,
"Depression, Chemical",G07.700.680.210,G07,700,680,210,,,
Down-Regulation,G07.700.680.230,G07,700,680,230,,,
Drug Interactions,G07.700.680.240,G07,700,680,240,,,
Drug Agonism,G07.700.680.240.154,G07,700,680,240,154,,
Drug Partial Agonism,G07.700.680.240.154.500,G07,700,680,240,154,500,
Drug Antagonism,G07.700.680.240.310,G07,700,680,240,310,,
Drug Inverse Agonism,G07.700.680.240.393,G07,700,680,240,393,,
Drug Synergism,G07.700.680.240.477,G07,700,680,240,477,,
Food-Drug Interactions,G07.700.680.240.511,G07,700,680,240,511,,
Herb-Drug Interactions,G07.700.680.240.755,G07,700,680,240,755,,
Drug Tolerance,G07.700.680.260,G07,700,680,260,,,
Tachyphylaxis,G07.700.680.260.910,G07,700,680,260,910,,
"Stimulation, Chemical",G07.700.680.850,G07,700,680,850,,,
Up-Regulation,G07.700.680.925,G07,700,680,925,,,
Radiation Tolerance,G07.700.760,G07,700,760,,,,
"Dose-Response Relationship, Radiation",G07.700.760.500,G07,700,760,500,,,
"Stress, Physiological",G07.700.830,G07,700,830,,,,
Cold-Shock Response,G07.700.830.249,G07,700,830,249,,,
Heat-Shock Response,G07.700.830.500,G07,700,830,500,,,
Oxidative Stress,G07.700.830.750,G07,700,830,750,,,
Thermosensing,G07.700.850,G07,700,850,,,,
Virus Shedding,G07.700.915,G07,700,915,,,,
Reproductive and Urinary Physiological Phenomena,G08,G08,,,,,,
Reproductive Physiological Phenomena,G08.686,G08,686,,,,,
Cell Lineage,G08.686.155,G08,686,155,,,,
Climacteric,G08.686.157,G08,686,157,,,,
Andropause,G08.686.157.249,G08,686,157,249,,,
Menopause,G08.686.157.500,G08,686,157,500,,,
"Menopause, Premature",G08.686.157.500.500,G08,686,157,500,500,,
Perimenopause,G08.686.157.500.562,G08,686,157,500,562,,
Postmenopause,G08.686.157.500.625,G08,686,157,500,625,,
Premenopause,G08.686.157.500.812,G08,686,157,500,812,,
Clutch Size,G08.686.160,G08,686,160,,,,
Estrous Cycle,G08.686.195,G08,686,195,,,,
Anestrus,G08.686.195.249,G08,686,195,249,,,
Diestrus,G08.686.195.374,G08,686,195,374,,,
Estrus,G08.686.195.500,G08,686,195,500,,,
Estrus Synchronization,G08.686.195.500.500,G08,686,195,500,500,,
Metestrus,G08.686.195.750,G08,686,195,750,,,
Proestrus,G08.686.195.875,G08,686,195,875,,,
Fertility,G08.686.210,G08,686,210,,,,
Time-to-Pregnancy,G08.686.210.500,G08,686,210,500,,,
Fetal Viability,G08.686.220,G08,686,220,,,,
Fetal Weight,G08.686.280,G08,686,280,,,,
Gestational Age,G08.686.320,G08,686,320,,,,
Gravidity,G08.686.340,G08,686,340,,,,
Labor Presentation,G08.686.520,G08,686,520,,,,
Breech Presentation,G08.686.520.150,G08,686,520,150,,,
Litter Size,G08.686.530,G08,686,530,,,,
Maternal Age,G08.686.560,G08,686,560,,,,
Menstrual Cycle,G08.686.605,G08,686,605,,,,
Fertile Period,G08.686.605.154,G08,686,605,154,,,
Follicular Phase,G08.686.605.310,G08,686,605,310,,,
Luteal Phase,G08.686.605.410,G08,686,605,410,,,
Menstruation,G08.686.605.428,G08,686,605,428,,,
Oviparity,G08.686.650,G08,686,650,,,,
Ovoviviparity,G08.686.655,G08,686,655,,,,
Parity,G08.686.677,G08,686,677,,,,
Paternal Age,G08.686.700,G08,686,700,,,,
Peripartum Period,G08.686.701,G08,686,701,,,,
Postpartum Period,G08.686.702,G08,686,702,,,,
Lactation,G08.686.702.500,G08,686,702,500,,,
Milk Ejection,G08.686.702.500.460,G08,686,702,500,460,,
Pregnancy Rate,G08.686.705,G08,686,705,,,,
Pregnancy Trimesters,G08.686.707,G08,686,707,,,,
"Pregnancy Trimester, First",G08.686.707.408,G08,686,707,408,,,
"Pregnancy Trimester, Second",G08.686.707.490,G08,686,707,490,,,
"Pregnancy Trimester, Third",G08.686.707.520,G08,686,707,520,,,
"Pregnancy, Multiple",G08.686.710,G08,686,710,,,,
"Pregnancy, Quadruplet",G08.686.710.030,G08,686,710,30,,,
"Pregnancy, Quintuplet",G08.686.710.062,G08,686,710,62,,,
"Pregnancy, Triplet",G08.686.710.126,G08,686,710,126,,,
"Pregnancy, Twin",G08.686.710.253,G08,686,710,253,,,
Superfetation,G08.686.710.608,G08,686,710,608,,,
Puberty,G08.686.760,G08,686,760,,,,
Adrenarche,G08.686.760.204,G08,686,760,204,,,
Menarche,G08.686.760.410,G08,686,760,410,,,
Reproductive Physiological Processes,G08.686.785,G08,686,785,,,,
Follicular Atresia,G08.686.785.280,G08,686,785,280,,,
Lactation,G08.686.785.420,G08,686,785,420,,,
Milk Ejection,G08.686.785.420.460,G08,686,785,420,460,,
Menstruation,G08.686.785.560,G08,686,785,560,,,
Reproduction,G08.686.785.760,G08,686,785,760,,,
Coitus,G08.686.785.760.041,G08,686,785,760,41,,
Ejaculation,G08.686.785.760.084,G08,686,785,760,84,,
Embryonic and Fetal Development,G08.686.785.760.170,G08,686,785,760,170,,
Embryonic Development,G08.686.785.760.170.104,G08,686,785,760,170,104,
Cell Lineage,G08.686.785.760.170.104.249,G08,686,785,760,170,104,249
Embryo Implantation,G08.686.785.760.170.104.500,G08,686,785,760,170,104,500
"Embryo Implantation, Delayed",G08.686.785.760.170.104.500.100,G08,686,785,760,170,104,500
Embryonic Induction,G08.686.785.760.170.104.750,G08,686,785,760,170,104,750
Epithelial-Mesenchymal Transition,G08.686.785.760.170.104.812,G08,686,785,760,170,104,812
"Twinning, Monozygotic",G08.686.785.760.170.104.875,G08,686,785,760,170,104,875
Fetal Development,G08.686.785.760.170.157,G08,686,785,760,170,157,
Fetal Movement,G08.686.785.760.170.157.374,G08,686,785,760,170,157,374
Fetal Organ Maturity,G08.686.785.760.170.157.750,G08,686,785,760,170,157,750
Organogenesis,G08.686.785.760.170.450,G08,686,785,760,170,450,
Neurogenesis,G08.686.785.760.170.450.500,G08,686,785,760,170,450,500
Fertilization,G08.686.785.760.277,G08,686,785,760,277,,
Ovum Transport,G08.686.785.760.277.360,G08,686,785,760,277,360,
Self-Fertilization,G08.686.785.760.277.560,G08,686,785,760,277,560,
Sperm Capacitation,G08.686.785.760.277.760,G08,686,785,760,277,760,
Sperm-Ovum Interactions,G08.686.785.760.277.800,G08,686,785,760,277,800,
Acrosome Reaction,G08.686.785.760.277.800.100,G08,686,785,760,277,800,100
Sperm Transport,G08.686.785.760.277.820,G08,686,785,760,277,820,
Gametogenesis,G08.686.785.760.310,G08,686,785,760,310,,
"Gametogenesis, Plant",G08.686.785.760.310.249,G08,686,785,760,310,249,
Oogenesis,G08.686.785.760.310.500,G08,686,785,760,310,500,
Vitellogenesis,G08.686.785.760.310.500.880,G08,686,785,760,310,500,880
Spermatogenesis,G08.686.785.760.310.760,G08,686,785,760,310,760,
Sperm Maturation,G08.686.785.760.310.760.700,G08,686,785,760,310,760,700
Insemination,G08.686.785.760.363,G08,686,785,760,363,,
"Insemination, Artificial",G08.686.785.760.363.492,G08,686,785,760,363,492,
Orgasm,G08.686.785.760.460,G08,686,785,760,460,,
Oviposition,G08.686.785.760.480,G08,686,785,760,480,,
Ovulation,G08.686.785.760.690,G08,686,785,760,690,,
Anovulation,G08.686.785.760.690.080,G08,686,785,760,690,80,
Luteinization,G08.686.785.760.690.355,G08,686,785,760,690,355,
Corpus Luteum Maintenance,G08.686.785.760.690.355.500,G08,686,785,760,690,355,500
Luteolysis,G08.686.785.760.690.380,G08,686,785,760,690,380,
Ovulation Inhibition,G08.686.785.760.690.493,G08,686,785,760,690,493,
Superovulation,G08.686.785.760.690.768,G08,686,785,760,690,768,
Penile Erection,G08.686.785.760.717,G08,686,785,760,717,,
Pollination,G08.686.785.760.743,G08,686,785,760,743,,
Pregnancy,G08.686.785.760.769,G08,686,785,760,769,,
Gravidity,G08.686.785.760.769.213,G08,686,785,760,769,213,
"Labor, Obstetric",G08.686.785.760.769.326,G08,686,785,760,769,326,
Cervical Ripening,G08.686.785.760.769.326.100,G08,686,785,760,769,326,100
Labor Onset,G08.686.785.760.769.326.500,G08,686,785,760,769,326,500
"Labor Stage, First",G08.686.785.760.769.326.500.080,G08,686,785,760,769,326,500
"Labor Stage, Second",G08.686.785.760.769.326.500.090,G08,686,785,760,769,326,500
"Labor Stage, Third",G08.686.785.760.769.326.500.110,G08,686,785,760,769,326,500
Labor Presentation,G08.686.785.760.769.326.520,G08,686,785,760,769,326,520
Breech Presentation,G08.686.785.760.769.326.520.150,G08,686,785,760,769,326,520
Trial of Labor,G08.686.785.760.769.326.660,G08,686,785,760,769,326,660
Uterine Contraction,G08.686.785.760.769.326.700,G08,686,785,760,769,326,700
Maternal-Fetal Exchange,G08.686.785.760.769.455,G08,686,785,760,769,455,
Parity,G08.686.785.760.769.472,G08,686,785,760,769,472,
Parturition,G08.686.785.760.769.490,G08,686,785,760,769,490,
Home Childbirth,G08.686.785.760.769.490.124,G08,686,785,760,769,490,124
Natural Childbirth,G08.686.785.760.769.490.249,G08,686,785,760,769,490,249
Term Birth,G08.686.785.760.769.490.500,G08,686,785,760,769,490,500
Placentation,G08.686.785.760.769.491,G08,686,785,760,769,491,
Pregnancy in Adolescence,G08.686.785.760.769.494,G08,686,785,760,769,494,
"Pregnancy, Animal",G08.686.785.760.769.498,G08,686,785,760,769,498,
Litter Size,G08.686.785.760.769.498.300,G08,686,785,760,769,498,300
"Pregnancy, High-Risk",G08.686.785.760.769.500,G08,686,785,760,769,500,
Pregnancy Maintenance,G08.686.785.760.769.520,G08,686,785,760,769,520,
Corpus Luteum Maintenance,G08.686.785.760.769.520.500,G08,686,785,760,769,520,500
"Pregnancy, Multiple",G08.686.785.760.769.525,G08,686,785,760,769,525,
Superfetation,G08.686.785.760.769.525.608,G08,686,785,760,769,525,608
Pregnancy Outcome,G08.686.785.760.769.530,G08,686,785,760,769,530,
Live Birth,G08.686.785.760.769.530.249,G08,686,785,760,769,530,249
Stillbirth,G08.686.785.760.769.530.500,G08,686,785,760,769,530,500
"Pregnancy, Unplanned",G08.686.785.760.769.570,G08,686,785,760,769,570,
"Pregnancy, Unwanted",G08.686.785.760.769.580,G08,686,785,760,769,580,
Prenatal Nutritional Physiological Phenomena,G08.686.785.760.769.600,G08,686,785,760,769,600,
Pseudopregnancy,G08.686.785.760.769.887,G08,686,785,760,769,887,
"Reproduction, Asexual",G08.686.785.760.830,G08,686,785,760,830,,
Apomixis,G08.686.785.760.830.249,G08,686,785,760,830,249,
Parthenogenesis,G08.686.785.760.830.500,G08,686,785,760,830,500,
Reproductive Behavior,G08.686.785.760.891,G08,686,785,760,891,,
Contraception Behavior,G08.686.785.760.891.500,G08,686,785,760,891,500,
Sexual Development,G08.686.785.880,G08,686,785,880,,,
Climacteric,G08.686.785.880.249,G08,686,785,880,249,,
Andropause,G08.686.785.880.249.249,G08,686,785,880,249,249,
Menopause,G08.686.785.880.249.500,G08,686,785,880,249,500,
"Menopause, Premature",G08.686.785.880.249.500.500,G08,686,785,880,249,500,500
Perimenopause,G08.686.785.880.249.500.562,G08,686,785,880,249,500,562
Postmenopause,G08.686.785.880.249.500.625,G08,686,785,880,249,500,625
Premenopause,G08.686.785.880.249.500.812,G08,686,785,880,249,500,812
Puberty,G08.686.785.880.374,G08,686,785,880,374,,
Adrenarche,G08.686.785.880.374.204,G08,686,785,880,374,204,
Menarche,G08.686.785.880.374.410,G08,686,785,880,374,410,
Sex Determination Processes,G08.686.785.880.437,G08,686,785,880,437,,
Sex Differentiation,G08.686.785.880.500,G08,686,785,880,500,,
Sexual Maturation,G08.686.785.880.750,G08,686,785,880,750,,
Sex,G08.686.810,G08,686,810,,,,
Sex Characteristics,G08.686.815,G08,686,815,,,,
Sexuality,G08.686.867,G08,686,867,,,,
Bisexuality,G08.686.867.200,G08,686,867,200,,,
Heterosexuality,G08.686.867.400,G08,686,867,400,,,
Homosexuality,G08.686.867.500,G08,686,867,500,,,
"Homosexuality, Female",G08.686.867.500.400,G08,686,867,500,400,,
"Homosexuality, Male",G08.686.867.500.600,G08,686,867,500,600,,
"Viviparity, Nonmammalian",G08.686.920,G08,686,920,,,,
Urinary Tract Physiological Phenomena,G08.852,G08,852,,,,,
Glomerular Filtration Rate,G08.852.357,G08,852,357,,,,
Kidney Concentrating Ability,G08.852.536,G08,852,536,,,,
Urinary Tract Physiological Processes,G08.852.796,G08,852,796,,,,
Diuresis,G08.852.796.241,G08,852,796,241,,,
Natriuresis,G08.852.796.241.557,G08,852,796,241,557,,
Renal Circulation,G08.852.796.700,G08,852,796,700,,,
"Renal Blood Flow, Effective",G08.852.796.700.700,G08,852,796,700,700,,
Renal Plasma Flow,G08.852.796.700.740,G08,852,796,700,740,,
"Renal Plasma Flow, Effective",G08.852.796.700.750,G08,852,796,700,750,,
Urination,G08.852.796.877,G08,852,796,877,,,
Urodynamics,G08.852.898,G08,852,898,,,,
Circulatory and Respiratory Physiological Phenomena,G09,G09,,,,,,
Blood Physiological Phenomena,G09.188,G09,188,,,,,
Acid-Base Equilibrium,G09.188.050,G09,188,50,,,,
Bleeding Time,G09.188.087,G09,188,87,,,,
Blood Bactericidal Activity,G09.188.100,G09,188,100,,,,
Blood Cell Count,G09.188.105,G09,188,105,,,,
Erythrocyte Count,G09.188.105.330,G09,188,105,330,,,
Reticulocyte Count,G09.188.105.330.725,G09,188,105,330,725,,
Leukocyte Count,G09.188.105.595,G09,188,105,595,,,
Lymphocyte Count,G09.188.105.595.500,G09,188,105,595,500,,
CD4 Lymphocyte Count,G09.188.105.595.500.150,G09,188,105,595,500,150,
CD4-CD8 Ratio,G09.188.105.595.500.150.160,G09,188,105,595,500,150,160
Platelet Count,G09.188.105.700,G09,188,105,700,,,
Blood Physiological Processes,G09.188.124,G09,188,124,,,,
Blood Bactericidal Activity,G09.188.124.145,G09,188,124,145,,,
Erythrocyte Aging,G09.188.124.454,G09,188,124,454,,,
Hematopoiesis,G09.188.124.544,G09,188,124,544,,,
Erythropoiesis,G09.188.124.544.414,G09,188,124,544,414,,
"Hematopoiesis, Extramedullary",G09.188.124.544.463,G09,188,124,544,463,,
Leukopoiesis,G09.188.124.544.597,G09,188,124,544,597,,
Lymphopoiesis,G09.188.124.544.597.500,G09,188,124,544,597,500,
Myelopoiesis,G09.188.124.544.597.750,G09,188,124,544,597,750,
Thrombopoiesis,G09.188.124.544.798,G09,188,124,544,798,,
Hemorheology,G09.188.124.552,G09,188,124,552,,,
Erythrocyte Aggregation,G09.188.124.552.249,G09,188,124,552,249,,
Platelet Aggregation,G09.188.124.552.624,G09,188,124,552,624,,
Hemostasis,G09.188.124.560,G09,188,124,560,,,
Blood Coagulation,G09.188.124.560.150,G09,188,124,560,150,,
Fibrinolysis,G09.188.124.560.150.390,G09,188,124,560,150,390,
Platelet Activation,G09.188.124.560.600,G09,188,124,560,600,,
Clot Retraction,G09.188.124.560.600.180,G09,188,124,560,600,180,
Platelet Adhesiveness,G09.188.124.560.600.500,G09,188,124,560,600,500,
Platelet Aggregation,G09.188.124.560.600.640,G09,188,124,560,600,640,
Phagocytosis,G09.188.124.780,G09,188,124,780,,,
Cytophagocytosis,G09.188.124.780.500,G09,188,124,780,500,,
Blood Volume,G09.188.130,G09,188,130,,,,
Erythrocyte Volume,G09.188.130.370,G09,188,130,370,,,
Plasma Volume,G09.188.130.610,G09,188,130,610,,,
Erythrocyte Indices,G09.188.260,G09,188,260,,,,
Fibrin Clot Lysis Time,G09.188.315,G09,188,315,,,,
Hemorheology,G09.188.370,G09,188,370,,,,
Blood Viscosity,G09.188.370.124,G09,188,370,124,,,
Erythrocyte Deformability,G09.188.370.249,G09,188,370,249,,,
Hematocrit,G09.188.370.374,G09,188,370,374,,,
Osmotic Fragility,G09.188.640,G09,188,640,,,,
Partial Thromboplastin Time,G09.188.660,G09,188,660,,,,
Platelet Adhesiveness,G09.188.670,G09,188,670,,,,
Prothrombin Time,G09.188.680,G09,188,680,,,,
Reticulocytosis,G09.188.760,G09,188,760,,,,
Thrombin Time,G09.188.840,G09,188,840,,,,
Whole Blood Coagulation Time,G09.188.960,G09,188,960,,,,
Cardiovascular Physiological Phenomena,G09.330,G09,330,,,,,
Capillary Fragility,G09.330.160,G09,330,160,,,,
Capillary Permeability,G09.330.165,G09,330,165,,,,
Cardiovascular Deconditioning,G09.330.175,G09,330,175,,,,
Cardiovascular Physiological Processes,G09.330.190,G09,330,190,,,,
Atrial Function,G09.330.190.075,G09,330,190,75,,,
"Atrial Function, Left",G09.330.190.075.100,G09,330,190,75,100,,
"Atrial Function, Right",G09.330.190.075.200,G09,330,190,75,200,,
Atrial Pressure,G09.330.190.075.600,G09,330,190,75,600,,
Atrial Remodeling,G09.330.190.075.800,G09,330,190,75,800,,
Blood Circulation,G09.330.190.163,G09,330,190,163,,,
Cerebrovascular Circulation,G09.330.190.163.159,G09,330,190,163,159,,
Collateral Circulation,G09.330.190.163.248,G09,330,190,163,248,,
Coronary Circulation,G09.330.190.163.324,G09,330,190,163,324,,
"Fractional Flow Reserve, Myocardial",G09.330.190.163.324.500,G09,330,190,163,324,500,
Microcirculation,G09.330.190.163.645,G09,330,190,163,645,,
Placental Circulation,G09.330.190.163.749,G09,330,190,163,749,,
Pulmonary Circulation,G09.330.190.163.770,G09,330,190,163,770,,
Regional Blood Flow,G09.330.190.163.780,G09,330,190,163,780,,
Renal Circulation,G09.330.190.163.812,G09,330,190,163,812,,
"Renal Blood Flow, Effective",G09.330.190.163.812.700,G09,330,190,163,812,700,
Renal Plasma Flow,G09.330.190.163.812.740,G09,330,190,163,812,740,
"Renal Plasma Flow, Effective",G09.330.190.163.812.750,G09,330,190,163,812,750,
Splanchnic Circulation,G09.330.190.163.881,G09,330,190,163,881,,
Liver Circulation,G09.330.190.163.881.552,G09,330,190,163,881,552,
"Cardiomegaly, Exercise-Induced",G09.330.190.281,G09,330,190,281,,,
Hemodynamics,G09.330.190.400,G09,330,190,400,,,
Baroreflex,G09.330.190.400.090,G09,330,190,400,90,,
Hemorheology,G09.330.190.400.295,G09,330,190,400,295,,
Pulsatile Flow,G09.330.190.400.295.750,G09,330,190,400,295,750,
Kallikrein-Kinin System,G09.330.190.400.500,G09,330,190,400,500,,
Renin-Angiotensin System,G09.330.190.400.750,G09,330,190,400,750,,
Vasoconstriction,G09.330.190.400.920,G09,330,190,400,920,,
Vasodilation,G09.330.190.400.925,G09,330,190,400,925,,
Myocardial Contraction,G09.330.190.541,G09,330,190,541,,,
Diastole,G09.330.190.541.295,G09,330,190,541,295,,
Systole,G09.330.190.541.880,G09,330,190,541,880,,
"Neovascularization, Physiologic",G09.330.190.751,G09,330,190,751,,,
Ventricular Function,G09.330.190.962,G09,330,190,962,,,
"Ventricular Function, Left",G09.330.190.962.800,G09,330,190,962,800,,
"Ventricular Function, Right",G09.330.190.962.900,G09,330,190,962,900,,
Ventricular Pressure,G09.330.190.962.950,G09,330,190,962,950,,
Ventricular Remodeling,G09.330.190.962.975,G09,330,190,962,975,,
Carotid Intima-Media Thickness,G09.330.210,G09,330,210,,,,
Hemodynamics,G09.330.380,G09,330,380,,,,
Atrial Pressure,G09.330.380.037,G09,330,380,37,,,
Blood Pressure,G09.330.380.076,G09,330,380,76,,,
Arterial Pressure,G09.330.380.076.347,G09,330,380,76,347,,
Pulmonary Wedge Pressure,G09.330.380.076.695,G09,330,380,76,695,,
Venous Pressure,G09.330.380.076.732,G09,330,380,76,732,,
Central Venous Pressure,G09.330.380.076.732.336,G09,330,380,76,732,336,
Portal Pressure,G09.330.380.076.732.650,G09,330,380,76,732,650,
Blood Volume,G09.330.380.092,G09,330,380,92,,,
Erythrocyte Volume,G09.330.380.092.370,G09,330,380,92,370,,
Plasma Volume,G09.330.380.092.610,G09,330,380,92,610,,
Cardiac Output,G09.330.380.124,G09,330,380,124,,,
Stroke Volume,G09.330.380.124.882,G09,330,380,124,882,,
Cardiac Volume,G09.330.380.249,G09,330,380,249,,,
Heart Rate,G09.330.380.500,G09,330,380,500,,,
"Heart Rate, Fetal",G09.330.380.500.430,G09,330,380,500,430,,
Heart Sounds,G09.330.380.510,G09,330,380,510,,,
Hemorheology,G09.330.380.630,G09,330,380,630,,,
Blood Flow Velocity,G09.330.380.630.080,G09,330,380,630,80,,
Blood Viscosity,G09.330.380.630.110,G09,330,380,630,110,,
Pulse,G09.330.380.750,G09,330,380,750,,,
Valsalva Maneuver,G09.330.380.875,G09,330,380,875,,,
Vascular Capacitance,G09.330.380.906,G09,330,380,906,,,
Vascular Resistance,G09.330.380.921,G09,330,380,921,,,
Capillary Resistance,G09.330.380.921.327,G09,330,380,921,327,,
Ventricular Pressure,G09.330.380.937,G09,330,380,937,,,
Vascular Patency,G09.330.920,G09,330,920,,,,
Vascular Stiffness,G09.330.940,G09,330,940,,,,
Respiratory Physiological Phenomena,G09.772,G09,772,,,,,
Airway Remodeling,G09.772.029,G09,772,29,,,,
Airway Resistance,G09.772.060,G09,772,60,,,,
Lung Compliance,G09.772.540,G09,772,540,,,,
Pulmonary Diffusing Capacity,G09.772.600,G09,772,600,,,,
Pulmonary Ventilation,G09.772.650,G09,772,650,,,,
Forced Expiratory Flow Rates,G09.772.650.300,G09,772,650,300,,,
Maximal Expiratory Flow Rate,G09.772.650.300.590,G09,772,650,300,590,,
Maximal Expiratory Flow-Volume Curves,G09.772.650.300.630,G09,772,650,300,630,,
Maximal Midexpiratory Flow Rate,G09.772.650.300.670,G09,772,650,300,670,,
Peak Expiratory Flow Rate,G09.772.650.300.790,G09,772,650,300,790,,
Forced Expiratory Volume,G09.772.650.430,G09,772,650,430,,,
Maximal Voluntary Ventilation,G09.772.650.630,G09,772,650,630,,,
Respiratory Dead Space,G09.772.760,G09,772,760,,,,
Respiratory Physiological Processes,G09.772.770,G09,772,770,,,,
Mucociliary Clearance,G09.772.770.580,G09,772,770,580,,,
Phonation,G09.772.770.680,G09,772,770,680,,,
Singing,G09.772.770.680.500,G09,772,770,680,500,,
Pulmonary Circulation,G09.772.770.690,G09,772,770,690,,,
Respiration,G09.772.770.755,G09,772,770,755,,,
Breath Holding,G09.772.770.755.349,G09,772,770,755,349,,
Respiratory Mechanics,G09.772.770.755.700,G09,772,770,755,700,,
Bronchoconstriction,G09.772.770.755.700.080,G09,772,770,755,700,80,
Exhalation,G09.772.770.755.700.275,G09,772,770,755,700,275,
Inhalation,G09.772.770.755.700.390,G09,772,770,755,700,390,
Respiratory Rate,G09.772.770.755.730,G09,772,770,755,730,,
Respiratory Transport,G09.772.770.755.760,G09,772,770,755,760,,
Pulmonary Gas Exchange,G09.772.770.755.760.602,G09,772,770,755,760,602,
Sneezing,G09.772.770.820,G09,772,770,820,,,
Yawning,G09.772.770.980,G09,772,770,980,,,
Respiratory Sounds,G09.772.775,G09,772,775,,,,
Total Lung Capacity,G09.772.850,G09,772,850,,,,
Closing Volume,G09.772.850.250,G09,772,850,250,,,
Functional Residual Capacity,G09.772.850.390,G09,772,850,390,,,
Expiratory Reserve Volume,G09.772.850.390.360,G09,772,850,390,360,,
Residual Volume,G09.772.850.390.820,G09,772,850,390,820,,
